"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"0","3395","100.0","0"
"1","3395","100.0","0"
"2","649","52.299453631986935","0"
"3","856","52.299453631986935","0"
"4","606","14.895239840311913","0"
"5","467","22.915243958784657","0"
"7","462","22.915243958784657","0"
"6","806","22.915243958784657","0"
"9","738","25.208816982983507","0"
"8","1510","19.004592667235098","0"
"10","379","14.543918068650418","0"
"12","655","15.728376876358396","0"
"11","1197","15.728376876358396","0"
"13","659","15.728376876358396","0"
"14","372","17.7425973125793","0"
"15","568","17.7425973125793","0"
"16","445","17.7425973125793","0"
"18","287","17.364815827509016","0"
"17","482","28.13329381446431","0"
"20","339","28.13329381446431","0"
"19","500","28.13329381446431","0"
"22","488","37.38245515160668","0"
"21","1136","37.38245515160668","0"
"23","1013","37.38245515160668","0"
"24","920","15.259441395386942","0"
"25","499","15.259441395386942","0"
"27","572","26.62741566026874","0"
"26","594","26.62741566026874","0"
"28","647","26.62741566026874","0"
"29","643","26.62741566026874","0"
"31","427","20.97747533527887","0"
"30","690","20.97747533527887","0"
"32","766","16.990592581345364","0"
"33","390","16.990592581345364","0"
"35","495","16.90656091811693","0"
"34","770","16.90656091811693","0"
"37","608","16.128493140562806","0"
"38","488","100.0","0"
"36","1400","100.0","0"
"39","605","100.0","0"
"40","734","100.0","0"
"42","343","24.112211933151773","0"
"41","689","24.112211933151773","0"
"43","297","24.112211933151773","0"
"44","412","24.112211933151773","0"
"45","532","24.112211933151773","0"
"47","273","20.147810009899615","0"
"46","606","20.147810009899615","0"
"48","524","20.085759456312346","0"
"49","677","20.085759456312346","0"
"50","498","29.464331277699053","0"
"52","461","29.464331277699053","0"
"53","253","14.12010700536519","0"
"51","1348","20.085759456312346","0"
"54","340","15.823048108263682","0"
"55","373","15.823048108263682","0"
"57","515","20.30386489843967","0"
"56","1406","16.881485953143518","0"
"58","802","20.30386489843967","0"
"60","349","11.084400425909669","0"
"59","644","16.881485953143518","0"
"62","605","23.16944195779691","0"
"63","503","23.063709979208113","0"
"61","1439","23.16944195779691","0"
"65","524","18.94571337462041","0"
"64","923","19.7278425679825","0"
"66","483","19.7278425679825","0"
"67","532","23.79026495625195","0"
"68","535","23.79026495625195","0"
"69","524","23.79026495625195","0"
"70","790","23.79026495625195","0"
"71","725","19.61743363009373","0"
"72","465","15.364985686647836","0"
"74","535","15.364985686647836","0"
"73","1390","12.3397328892217","0"
"75","823","13.274351763097735","0"
"77","597","17.074043831516448","0"
"76","1025","17.074043831516448","0"
"78","508","20.01578778129255","0"
"79","455","20.01578778129255","0"
"80","594","20.01578778129255","0"
"82","354","19.63610657580951","0"
"81","1045","20.01578778129255","0"
"84","338","19.004486121313334","0"
"83","472","19.004486121313334","0"
"85","499","100.0","0"
"86","447","100.0","0"
"87","322","100.0","0"
"88","445","100.0","0"
"89","747","100.0","0"
"90","634","55.747489240719204","0"
"91","406","41.850948248347244","0"
"92","723","41.850948248347244","0"
"93","444","41.850948248347244","0"
"94","477","41.850948248347244","0"
"95","812","41.850948248347244","0"
"96","425","21.552274114940438","0"
"97","886","20.32403604262737","0"
"99","404","20.32403604262737","0"
"98","1395","19.12571139788415","0"
"100","450","19.12571139788415","0"
"101","308","19.12571139788415","0"
"102","353","20.491064467789144","0"
"103","469","20.491064467789144","0"
"104","483","20.491064467789144","0"
"105","501","20.491064467789144","0"
"106","492","16.194548109686846","0"
"107","650","24.727947318952836","0"
"108","374","24.727947318952836","0"
"109","350","24.727947318952836","0"
"111","460","24.727947318952836","0"
"110","1579","24.727947318952836","0"
"113","366","10.509044267461343","0"
"112","1435","21.287293259750918","0"
"114","363","16.136113057955637","0"
"115","612","16.136113057955637","0"
"117","218","14.796899603557101","0"
"116","818","17.364069844681474","0"
"118","382","17.364069844681474","0"
"119","339","17.364069844681474","0"
"120","384","27.89301192778878","0"
"121","661","27.89301192778878","0"
"122","393","27.89301192778878","0"
"124","344","27.89301192778878","0"
"123","609","27.89301192778878","0"
"125","495","21.03973265714847","0"
"126","343","21.03973265714847","0"
"127","445","21.03973265714847","0"
"128","405","21.03973265714847","0"
"130","441","17.59936389685983","0"
"129","952","17.59936389685983","0"
"132","343","17.59936389685983","0"
"131","1009","17.59936389685983","0"
"133","697","15.954969956499509","0"
"134","623","15.954969956499509","0"
"135","385","18.48208866714085","0"
"136","580","18.48208866714085","0"
"137","538","26.59136259479753","0"
"138","457","26.59136259479753","0"
"139","564","26.59136259479753","0"
"140","509","26.59136259479753","0"
"141","377","17.418243234985063","0"
"142","358","17.418243234985063","0"
"143","392","17.418243234985063","0"
"144","695","16.006562239305367","0"
"145","583","16.006562239305367","0"
"146","658","24.568790604292058","0"
"147","517","24.568790604292058","0"
"148","467","24.568790604292058","0"
"149","447","24.568790604292058","0"
"151","435","20.299795637163378","0"
"150","699","20.299795637163378","0"
"153","487","21.98518851475346","0"
"152","883","21.98518851475346","0"
"154","443","21.98518851475346","0"
"156","572","19.084686346434854","0"
"157","328","19.084686346434854","0"
"155","1539","21.98518851475346","0"
"158","594","14.52900621775709","0"
"159","492","14.52900621775709","0"
"160","444","16.948922214050487","0"
"161","576","16.948922214050487","0"
"162","445","24.321141487760613","0"
"163","475","24.321141487760613","0"
"164","519","24.321141487760613","0"
"165","595","24.321141487760613","0"
"166","379","18.274874489226878","0"
"168","620","22.898969464332385","0"
"167","1364","22.898969464332385","0"
"169","778","20.558573380122468","0"
"171","598","17.50215370664249","0"
"170","1180","17.50215370664249","0"
"172","470","18.79861015941745","0"
"173","526","18.79861015941745","0"
"174","580","18.79861015941745","0"
"175","476","18.75673467900143","0"
"176","312","18.75673467900143","0"
"178","346","0.0","0"
"177","380","0.0","0"
"180","244","20.875703291276114","0"
"179","534","20.875703291276114","0"
"181","365","23.89017566504843","0"
"183","293","23.89017566504843","0"
"182","517","23.89017566504843","0"
"184","540","23.89017566504843","0"
