"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"1","3074","57.474469872738155","0"
"0","3074","57.474469872738155","0"
"3","497","57.474469872738155","0"
"2","821","57.474469872738155","0"
"4","401","24.510433473910975","0"
"5","373","24.510433473910975","0"
"6","577","24.510433473910975","0"
"7","451","24.480221880178433","0"
"8","1344","24.480221880178433","0"
"9","1399","21.67374581785738","0"
"10","453","23.236477829220938","0"
"12","272","23.236477829220938","0"
"13","397","28.612014032126353","0"
"11","1422","16.208788365673175","0"
"14","378","28.612014032126353","0"
"16","297","16.208788365673175","0"
"15","456","16.208788365673175","0"
"17","395","16.208788365673175","0"
"18","726","16.94828868870205","0"
"20","426","16.94828868870205","0"
"19","1413","16.94828868870205","0"
"21","614","12.028965075527287","0"
"22","341","10.313854811484092","0"
"23","318","10.313854811484092","0"
"25","437","28.650535009665624","0"
"24","1449","28.650535009665624","0"
"26","1481","28.650535009665624","0"
"27","532","19.265329895108575","0"
"29","486","19.265329895108575","0"
"30","264","15.99229421846079","0"
"31","312","28.372795870291835","0"
"28","1580","28.372795870291835","0"
"32","409","28.372795870291835","0"
"33","380","28.372795870291835","0"
"34","477","28.372795870291835","0"
"35","367","31.177599449837135","0"
"37","281","31.177599449837135","0"
"38","573","31.177599449837135","0"
"36","1438","31.177599449837135","0"
"40","316","15.459987223613625","0"
"41","379","18.939724485932874","0"
"42","247","18.939724485932874","0"
"39","1438","18.939724485932874","0"
"43","213","27.0694197993106","0"
"44","400","27.0694197993106","0"
"45","387","27.0694197993106","0"
"46","369","27.0694197993106","0"
"47","553","27.0694197993106","0"
"48","423","22.376074567405745","0"
"50","362","18.936099415493036","0"
"51","467","18.936099415493036","0"
"49","1400","22.376074567405745","0"
"53","277","17.77170904005808","0"
"54","721","17.77170904005808","0"
"52","1364","17.36528956979557","0"
"55","372","17.36528956979557","0"
"56","358","17.36528956979557","0"
"57","280","17.36528956979557","0"
"58","499","17.36528956979557","0"
"59","358","17.121415932207707","0"
"61","250","17.121415932207707","0"
"60","409","17.121415932207707","0"
"62","643","19.20469327620934","0"
"63","648","19.20469327620934","0"
"64","327","19.571109653170694","0"
"65","295","19.571109653170694","0"
"66","761","21.07528281503518","0"
"68","416","21.07528281503518","0"
"67","1574","19.571109653170694","0"
"70","394","15.693075199320694","0"
"71","334","13.760327061916799","0"
"69","1374","21.07528281503518","0"
"73","316","20.152587813226607","0"
"72","506","20.152587813226607","0"
"75","586","20.152587813226607","0"
"74","647","20.152587813226607","0"
"77","325","17.967731729887337","0"
"78","366","17.967731729887337","0"
"76","1386","17.967731729887337","0"
"80","304","16.5345520292419","0"
"79","1417","15.11454732196732","0"
"81","555","16.5345520292419","0"
"83","227","15.11454732196732","0"
"82","1393","15.11454732196732","0"
"84","1482","16.380783922594023","0"
"85","446","9.960007335813359","0"
"87","207","23.21827949372055","0"
"86","296","23.21827949372055","0"
"88","488","23.21827949372055","0"
"89","460","23.21827949372055","0"
"90","439","20.70385817834659","0"
"92","413","23.066329902348095","0"
"93","309","23.066329902348095","0"
"91","1342","23.066329902348095","0"
"94","251","23.066329902348095","0"
"95","411","15.881221593088535","0"
"97","1627","21.010226350996362","0"
"98","415","12.325150898480775","0"
"99","1460","21.808423426710412","0"
"96","3969","21.010226350996362","0"
"101","257","8.560064389599054","0"
"100","381","8.560064389599054","0"
"102","578","11.122904976147762","0"
"103","534","11.122904976147762","0"
"105","522","27.107885099140084","0"
"104","536","27.107885099140084","0"
"107","662","27.107885099140084","0"
"108","473","22.25400465946734","0"
"106","1991","27.107885099140084","0"
"110","364","12.204457750035559","0"
"111","442","15.282546031702937","0"
"112","452","25.259102947411314","0"
"113","322","25.259102947411314","0"
"114","463","25.259102947411314","0"
"115","694","13.828823043224913","0"
"109","4005","22.25400465946734","0"
"116","549","6.4305617567404605","0"
"117","488","14.987357464687555","0"
"118","381","14.987357464687555","0"
"119","351","14.987357464687555","0"
"120","407","22.405216837913933","0"
"122","508","22.405216837913933","0"
"123","460","16.484742858087298","0"
"121","1369","22.405216837913933","0"
"125","360","18.46770503228443","0"
"124","716","18.46770503228443","0"
"127","312","18.46770503228443","0"
"126","1369","18.46770503228443","0"
"128","772","14.326243894501223","0"
"130","422","13.716839658188674","0"
"129","596","13.716839658188674","0"
"131","260","9.983613015047666","0"
"132","474","19.29255187981124","0"
"133","372","19.29255187981124","0"
"135","276","19.29255187981124","0"
"134","335","19.29255187981124","0"
"136","396","20.45790266862951","0"
"137","440","20.45790266862951","0"
"138","415","20.45790266862951","0"
"139","519","20.45790266862951","0"
"140","518","19.174894725775825","0"
"141","380","19.174894725775825","0"
"142","361","13.69637095750037","0"
"143","304","13.69637095750037","0"
"144","385","23.86590840449513","0"
"145","460","23.86590840449513","0"
"146","1483","23.86590840449513","0"
"147","1394","23.86590840449513","0"
"148","559","22.79937783669951","0"
"150","414","22.79937783669951","0"
"151","311","22.79937783669951","0"
"149","1426","19.85203217461715","0"
"152","530","23.638132919201315","0"
"153","471","23.638132919201315","0"
"155","294","23.638132919201315","0"
"154","310","23.638132919201315","0"
"157","368","15.87354320395823","0"
"156","403","15.87354320395823","0"
"158","270","23.6963295043093","0"
"159","256","23.6963295043093","0"
"160","532","23.6963295043093","0"
"162","553","16.940782985719803","0"
"161","1607","23.6963295043093","0"
"163","503","14.11433952455824","0"
"165","341","13.034724886491722","0"
"166","897","24.741018060291854","0"
"164","1504","13.034724886491722","0"
"167","385","17.997680140472472","0"
"168","350","17.997680140472472","0"
"169","392","17.997680140472472","0"
"171","471","17.997680140472472","0"
"170","1367","17.997680140472472","0"
"173","413","15.445417624972357","0"
"172","1383","16.577360111114125","0"
"174","280","15.445417624972357","0"
"175","374","17.812149667659906","0"
"176","402","17.812149667659906","0"
"177","442","23.182333470990578","0"
"178","374","23.182333470990578","0"
"179","488","23.182333470990578","0"
"180","720","23.182333470990578","0"
"181","447","17.004562806422243","0"
"182","773","17.004562806422243","0"
"184","375","16.205360054431274","0"
"183","1502","16.12593927379178","0"
"186","432","16.12593927379178","0"
"185","1312","16.205360054431274","0"
"188","291","15.13115855743271","0"
"189","253","20.737544786145847","0"
"187","1535","13.481773340380332","0"
"190","615","20.737544786145847","0"
"192","561","13.481773340380332","0"
"191","598","13.481773340380332","0"
"194","410","22.250438584586995","0"
"193","416","22.250438584586995","0"
"196","553","22.250438584586995","0"
"195","771","22.250438584586995","0"
"197","692","18.69894727494481","0"
"198","483","18.69894727494481","0"
"199","474","18.69894727494481","0"
