"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"1","3143","100.0","0"
"0","3144","100.0","0"
"2","335","0.0","0"
"3","1389","25.926903218673658","0"
"4","1408","42.95221641136035","0"
"5","396","25.926903218673658","0"
"6","227","40.75517273446783","0"
"7","342","40.75517273446783","0"
"8","314","40.75517273446783","0"
"9","277","42.67213229350478","0"
"10","364","42.67213229350478","0"
"11","498","42.67213229350478","0"
"12","306","42.67213229350478","0"
"13","545","42.51375502953313","0"
"14","590","42.51375502953313","0"
"15","439","41.24132472547023","0"
"16","519","41.24132472547023","0"
"17","456","41.24132472547023","0"
"18","645","41.24132472547023","0"
"19","522","28.1837296906584","0"
"20","255","28.1837296906584","0"
"22","465","31.69528671708929","0"
"21","656","31.69528671708929","0"
"24","335","31.69528671708929","0"
"25","364","31.69528671708929","0"
"23","1494","31.69528671708929","0"
"27","481","13.366655386818893","0"
"26","1323","29.514822790990436","0"
"29","384","21.754043562057348","0"
"28","573","21.754043562057348","0"
"31","466","21.754043562057348","0"
"30","601","21.754043562057348","0"
"33","397","27.75374179087712","0"
"34","326","27.75374179087712","0"
"35","448","37.24116806207882","0"
"32","1357","37.24116806207882","0"
"37","293","37.24116806207882","0"
"36","365","37.24116806207882","0"
"38","304","35.102228957303694","0"
"40","396","37.14623506666378","0"
"41","330","37.14623506666378","0"
"39","1398","35.102228957303694","0"
"42","441","28.08331507070102","0"
"43","462","28.08331507070102","0"
"45","399","25.4423436357451","0"
"44","1348","23.08838024443467","0"
"46","605","25.4423436357451","0"
"47","576","24.43045676743164","0"
"48","631","24.43045676743164","0"
"49","279","31.991437928538822","0"
"50","617","31.991437928538822","0"
"51","505","31.991437928538822","0"
"52","336","31.991437928538822","0"
"54","304","30.800536273229785","0"
"53","770","30.800536273229785","0"
"55","346","23.90223206280301","0"
"56","254","23.90223206280301","0"
"58","311","35.39084900106001","0"
"57","523","35.39084900106001","0"
"59","240","35.39084900106001","0"
"61","272","35.806571903545034","0"
"60","519","35.806571903545034","0"
"62","239","35.806571903545034","0"
"64","235","39.334317178797875","0"
"65","845","39.334317178797875","0"
"63","1556","39.334317178797875","0"
"66","332","20.0496582735341","0"
"67","360","36.58548330521547","0"
"69","328","36.58548330521547","0"
"70","363","23.327259801538148","0"
"68","1393","36.58548330521547","0"
"71","373","31.53222168100579","0"
"73","254","31.53222168100579","0"
"74","361","31.53222168100579","0"
"75","371","32.004151474191744","0"
"72","1346","32.004151474191744","0"
"76","328","32.004151474191744","0"
"77","441","36.91654553078547","0"
"78","413","36.91654553078547","0"
"79","470","36.91654553078547","0"
