"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"0","3258","60.86320582865841","0"
"1","1430","60.86320582865841","0"
"2","331","27.96891766092714","0"
"3","423","38.760777293668944","0"
"4","291","38.760777293668944","0"
"5","462","28.205824733807873","0"
"6","346","24.32306163651449","0"
"7","678","25.907836461405687","0"
"8","432","25.907836461405687","0"
"9","359","23.42142160307361","0"
"10","1675","19.398260627847275","0"
"11","1378","49.21576461244829","0"
"12","491","64.1757503736304","0"
"13","283","64.1757503736304","0"
"14","1449","64.1757503736304","0"
"15","262","15.864249838397926","0"
"16","306","20.384984024702312","0"
"17","1337","20.384984024702312","0"
"18","1573","7.414107120742342","0"
"19","271","5.937296901550216","0"
"20","352","18.728090455229673","0"
"21","1308","18.728090455229673","0"
"22","485","15.924895896337766","0"
"23","591","15.924895896337766","0"
"24","453","17.979950686233217","0"
"25","1432","17.979950686233217","0"
"26","303","7.431537199754223","0"
"27","1382","13.761667986846671","0"
"28","404","5.888151194092195","0"
"29","277","16.505219446274534","0"
"30","4022","16.505219446274534","0"
"31","612","7.848091033150384","0"
"32","600","14.114803965625589","0"
"33","468","14.114803965625589","0"
"34","573","26.537562320306783","0"
"35","774","26.537562320306783","0"
"36","447","15.069219771525887","0"
"37","384","15.069219771525887","0"
"38","414","15.069219771525887","0"
"39","654","14.223921356772296","0"
"40","340","14.223921356772296","0"
"41","220","15.13682346647618","0"
"42","1390","15.13682346647618","0"
"43","214","8.128724706490464","0"
"44","319","15.05412030067893","0"
"45","413","15.05412030067893","0"
"46","339","11.491255101059695","0"
"47","336","16.033566790286315","0"
"48","496","16.033566790286315","0"
"49","251","15.845554921322059","0"
"50","343","16.72966199281989","0"
"51","490","16.72966199281989","0"
"52","1307","12.202938924242822","0"
"53","1453","11.399213415631959","0"
"54","361","6.6745783907771195","0"
"55","297","12.278960648697247","0"
"56","405","16.83402433170317","0"
"57","282","16.83402433170317","0"
"58","1569","17.636983533370774","0"
"59","549","5.881752437821208","0"
"60","308","5.609965447422138","0"
"61","381","16.716628464070048","0"
"62","513","20.44433169794334","0"
"63","261","20.44433169794334","0"
"64","371","20.44433169794334","0"
"65","1377","9.659174635280898","0"
"66","363","7.920802009303318","0"
"67","477","12.338036422351639","0"
"68","666","12.338036422351639","0"
"69","271","11.993557421486145","0"
"70","1417","13.527634792032861","0"
"71","1366","11.600197870862628","0"
"72","276","11.600197870862628","0"
"73","1390","13.218013104273506","0"
"74","394","6.508703216361889","0"
"75","500","16.537375127325117","0"
"76","496","16.537375127325117","0"
"77","544","11.986310858016457","0"
"78","566","11.673902621801213","0"
"79","308","10.159511046149705","0"
