"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"0","2805","100.0","0"
"1","2810","100.0","0"
"3","256","68.91567719349916","0"
"2","288","68.91567719349916","0"
"5","167","68.91567719349916","0"
"4","295","68.91567719349916","0"
"6","279","31.50055284108634","0"
"7","196","31.50055284108634","0"
"8","253","31.50055284108634","0"
"9","256","31.50055284108634","0"
"10","189","24.10153359905456","0"
"11","211","24.10153359905456","0"
"12","301","33.32202316794761","0"
"13","259","33.32202316794761","0"
"14","274","33.32202316794761","0"
"15","362","33.32202316794761","0"
"17","293","19.209633404709926","0"
"16","578","33.32202316794761","0"
"18","278","19.209633404709926","0"
"19","202","15.726808212822762","0"
"20","242","15.726808212822762","0"
"21","233","15.726808212822762","0"
"23","200","25.569024805363007","0"
"22","319","25.569024805363007","0"
"24","336","25.569024805363007","0"
"25","449","25.569024805363007","0"
"26","264","18.056577807596398","0"
"28","306","20.425221210811717","0"
"27","553","20.425221210811717","0"
"29","206","20.425221210811717","0"
"30","181","20.425221210811717","0"
"31","236","24.912967693525456","0"
"32","232","24.912967693525456","0"
"34","243","24.912967693525456","0"
"33","323","24.912967693525456","0"
"35","246","24.912967693525456","0"
"36","468","24.912967693525456","0"
"37","233","20.889682710589376","0"
"38","227","20.889682710589376","0"
"39","267","20.889682710589376","0"
"40","224","13.185264590014977","0"
"41","180","13.185264590014977","0"
"43","208","24.511224708012836","0"
"42","268","24.511224708012836","0"
"44","199","24.511224708012836","0"
"45","355","24.511224708012836","0"
"46","217","24.511224708012836","0"
"47","301","24.511224708012836","0"
"48","282","21.659654442423072","0"
"49","211","21.659654442423072","0"
"51","170","23.6547480489519","0"
"50","355","23.6547480489519","0"
"53","188","23.6547480489519","0"
"52","278","23.6547480489519","0"
"54","262","23.6547480489519","0"
"55","273","19.596663216992425","0"
"56","184","19.596663216992425","0"
"57","223","26.065773689687344","0"
"58","180","26.065773689687344","0"
"59","231","26.065773689687344","0"
"60","407","26.065773689687344","0"
"61","269","26.065773689687344","0"
"62","186","24.347142541138545","0"
"63","172","24.347142541138545","0"
"64","195","24.347142541138545","0"
"65","328","29.7427578206933","0"
"66","166","29.7427578206933","0"
"67","253","29.7427578206933","0"
"68","336","29.7427578206933","0"
"69","335","54.85193399798558","0"
"70","234","54.85193399798558","0"
"72","219","54.85193399798558","0"
"71","357","54.85193399798558","0"
"74","254","36.91810471882418","0"
"73","416","54.85193399798558","0"
"75","202","36.91810471882418","0"
"76","209","36.91810471882418","0"
"77","260","18.65071334913183","0"
"79","230","28.53226512162386","0"
"78","525","28.53226512162386","0"
"80","217","28.53226512162386","0"
"81","265","28.53226512162386","0"
"82","214","28.53226512162386","0"
"83","182","28.53226512162386","0"
"85","190","27.22107229962143","0"
"84","325","28.53226512162386","0"
"86","268","27.22107229962143","0"
"87","339","27.22107229962143","0"
"88","230","20.880090407435137","0"
"89","163","20.880090407435137","0"
"90","229","29.524253658169243","0"
"91","185","29.524253658169243","0"
"93","213","29.524253658169243","0"
"92","249","29.524253658169243","0"
"94","284","29.524253658169243","0"
"95","275","29.524253658169243","0"
"97","245","24.04904932648083","0"
"96","353","24.04904932648083","0"
"98","260","28.084785017200055","0"
"99","204","28.084785017200055","0"
"101","283","28.084785017200055","0"
"100","343","28.084785017200055","0"
"103","288","28.084785017200055","0"
"102","356","28.084785017200055","0"
"104","225","25.756139076372055","0"
"105","274","25.756139076372055","0"
"106","216","25.756139076372055","0"
"107","206","25.756139076372055","0"
"108","229","23.96753750256214","0"
"109","307","24.808766436442742","0"
"110","251","24.808766436442742","0"
"111","198","24.808766436442742","0"
"112","198","24.808766436442742","0"
"113","167","24.808766436442742","0"
"114","307","29.662474323039255","0"
"115","246","29.662474323039255","0"
"117","178","29.662474323039255","0"
"116","244","29.662474323039255","0"
"119","196","29.662474323039255","0"
"118","249","29.662474323039255","0"
"120","239","23.3031472740027","0"
"121","307","23.3031472740027","0"
"122","223","25.413908058619494","0"
"123","310","25.413908058619494","0"
"124","172","25.413908058619494","0"
"125","323","25.413908058619494","0"
"126","373","25.413908058619494","0"
"127","233","19.95527223458916","0"
"128","241","19.95527223458916","0"
"130","309","22.77859417835981","0"
"129","497","22.77859417835981","0"
"131","210","22.77859417835981","0"
"132","289","22.77859417835981","0"
"133","272","22.77859417835981","0"
"134","216","19.98297731273071","0"
"135","204","19.98297731273071","0"
"136","340","21.50071231792845","0"
"137","346","21.50071231792845","0"
"138","293","21.50071231792845","0"
"139","283","21.50071231792845","0"
"140","185","21.50071231792845","0"
"141","250","17.566007279397844","0"
"142","241","17.566007279397844","0"
"143","247","30.20839555831396","0"
"144","239","30.20839555831396","0"
"145","227","30.20839555831396","0"
"146","262","30.20839555831396","0"
